column_name,data_type,category,description
fing2p_card,float64,Financial / Account Ownership & Access,
fing2p_cash,float64,Financial / Account Ownership & Access,
fing2p_fin,float64,Financial / Account Ownership & Access,
fing2p_mob,float64,Financial / Account Ownership & Access,
fing2p,float64,Financial / Account Ownership & Access,
g20_made,float64,Other / Needs Review,
g20_received,float64,Other / Needs Review,
g20_any,float64,Other / Needs Review,
merchant_pay,float64,Financial / Payments & Transactions,
save_any_t_d,float64,Financial / Savings & Management,
fin11_1,float64,Financial / Account Ownership & Access,
fin5w,float64,Financial / Account Ownership & Access,
fin5m,float64,Financial / Account Ownership & Access,
fin5lm,float64,Financial / Account Ownership & Access,
fin5n,float64,Financial / Account Ownership & Access,
fin6w,float64,Financial / Account Ownership & Access,
fin6m,float64,Financial / Account Ownership & Access,
fin6lm,float64,Financial / Account Ownership & Access,
fin6n,float64,Financial / Account Ownership & Access,
fin11_0,float64,Financial / Account Ownership & Access,
fin9a,float64,Financial / Account Ownership & Access,
fin17dw,float64,Financial / Account Ownership & Access,
fin17dm,float64,Financial / Account Ownership & Access,
fin17dlm,float64,Financial / Account Ownership & Access,
fin17e,float64,Financial / Account Ownership & Access,
fin7,float64,Financial / Account Ownership & Access,
fin3,float64,Financial / Account Ownership & Access,
fin19,float64,Financial / Account Ownership & Access,
fin20,float64,Financial / Account Ownership & Access,
fin21,float64,Financial / Account Ownership & Access,
fin24ba,float64,Financial / Account Ownership & Access,
fin24bb,float64,Financial / Account Ownership & Access,
fin24bc,float64,Financial / Account Ownership & Access,
fin24bd,float64,Financial / Account Ownership & Access,
fin24c,float64,Financial / Account Ownership & Access,
fin24d1,float64,Financial / Account Ownership & Access,
fin24d2,float64,Financial / Account Ownership & Access,
fin24d3,float64,Financial / Account Ownership & Access,
fin25e1,float64,Financial / Account Ownership & Access,
fin25e2b,float64,Financial / Account Ownership & Access,
fin25e3w,float64,Financial / Account Ownership & Access,
fin25e3m,float64,Financial / Account Ownership & Access,
fin25e3lm,float64,Financial / Account Ownership & Access,
fin25e4a,float64,Financial / Account Ownership & Access,
fin25e4b,float64,Financial / Account Ownership & Access,
fin25e4c,float64,Financial / Account Ownership & Access,
fin25e4d,float64,Financial / Account Ownership & Access,
fin25e4e,float64,Financial / Account Ownership & Access,
fh2a,float64,Grouping / Internal Index,
fin31c,float64,Financial / Account Ownership & Access,
fin36a,float64,Financial / Account Ownership & Access,
fin36b,float64,Financial / Account Ownership & Access,
fin40a,float64,Financial / Account Ownership & Access,
fin40b,float64,Financial / Account Ownership & Access,
fin36Aa,float64,Financial / Account Ownership & Access,
fin36Ab,float64,Financial / Account Ownership & Access,
fin8,float64,Financial / Account Ownership & Access,
fin13aw,float64,Financial / Account Ownership & Access,
fin13am,float64,Financial / Account Ownership & Access,
fin13alm,float64,Financial / Account Ownership & Access,
fin13an,float64,Financial / Account Ownership & Access,
fin13bw,float64,Financial / Account Ownership & Access,
