year,regionwb24_hi,incomegroupwb24,pop_adult,account_t_d,mobileaccount_t_d,internet,Predicted_Adoption,countrynewwb,codewb
2011,Latin America & Caribbean (excluding high income),Lower middle income,4126198.0,0.137646152,0.003044038,0.828401699,0.0030440380000000045,El Salvador,SLV
2011,High income,High income,1128611.0,0.96824276,0.003044038,0.828401699,0.0030440380000000045,Estonia,EST
2011,Sub-Saharan Africa (excluding high income),Lower middle income,680317.0,0.285694413,0.003044038,0.828401699,0.0030440380000000045,Eswatini,SWZ
2011,High income,High income,4475337.0,0.99651252,0.003044038,0.828401699,0.0030440380000000045,Finland,FIN
2011,High income,High income,52976120.0,0.969838847,0.003044038,0.828401699,0.0030440380000000045,France,FRA
2011,Sub-Saharan Africa (excluding high income),Upper middle income,1077711.0,0.189465176,0.003044038,0.828401699,0.0030440380000000045,Gabon,GAB
2011,Europe & Central Asia (excluding high income),Upper middle income,3084171.0,0.329809682,0.003044038,0.828401699,0.005088750060000021,Georgia,GEO
2011,High income,High income,70576834.0,0.981336173,0.003044038,0.828401699,0.0030440380000000045,Germany,DEU
2011,Sub-Saharan Africa (excluding high income),Lower middle income,15512209.0,0.294253536,0.003044038,0.828401699,0.0030440380000000045,Ghana,GHA
2011,High income,High income,9493929.0,0.779398584,0.003044038,0.828401699,0.0030440380000000045,Greece,GRC
2011,Latin America & Caribbean (excluding high income),Upper middle income,8804525.0,0.223188831,0.003044038,0.828401699,0.0030440380000000045,Guatemala,GTM
2011,Sub-Saharan Africa (excluding high income),Low income,5771983.0,0.0368785,0.003044038,0.828401699,0.0030440380000000045,Guinea,GIN
2011,Latin America & Caribbean (excluding high income),Lower middle income,6250015.0,0.220072688,0.003044038,0.828401699,0.0030440380000000045,Haiti,HTI
2011,Latin America & Caribbean (excluding high income),Lower middle income,5181064.0,0.205122646,0.003044038,0.828401699,0.0030440380000000045,Honduras,HND
2011,High income,High income,6165173.0,0.886860397,0.003044038,0.828401699,0.0030440380000000045,"Hong Kong SAR, China",HKG
2011,High income,High income,8529919.0,0.726743207,0.003044038,0.828401699,0.0030440380000000045,Hungary,HUN
2011,South Asia (excluding high income),Lower middle income,853745004.0,0.352318385,0.003044038,0.828401699,0.0030440380000000045,India,IND
2011,East Asia & Pacific (excluding high income),Lower middle income,177530453.0,0.195819908,0.003044038,0.828401699,0.0030440380000000045,Indonesia,IDN
2011,Middle East & North Africa (excluding high income),Lower middle income,59270231.0,0.736838511,0.003044038,0.828401699,0.0030440380000000045,"Iran, Islamic Rep.",IRN
2011,Middle East & North Africa (excluding high income),Upper middle income,18241367.0,0.105537449,0.003044038,0.828401699,0.0030440380000000045,Iraq,IRQ
2011,High income,High income,3598499.0,0.938883535,0.003044038,0.828401699,0.0030440380000000045,Ireland,IRL
2011,High income,High income,5491153.0,0.904686394,0.003044038,0.828401699,0.0030440380000000045,Israel,ISR
2011,High income,High income,50957209.0,0.710085305,0.003044038,0.828401699,0.0030440380000000045,Italy,ITA
2011,Latin America & Caribbean (excluding high income),Upper middle income,2007871.0,0.709915018,0.003044038,0.828401699,0.0030440380000000045,Jamaica,JAM
2011,High income,High income,110945852.0,0.964220483,0.003044038,0.828401699,0.0030440380000000045,Japan,JPN
2011,Middle East & North Africa (excluding high income),Upper middle income,4670454.0,0.254710972,0.003044038,0.828401699,0.0030440380000000045,Jordan,JOR
2011,Europe & Central Asia (excluding high income),Upper middle income,12564991.0,0.421050923,0.003044038,0.828401699,0.008852860989999971,Kazakhstan,KAZ
2011,Sub-Saharan Africa (excluding high income),Lower middle income,23450849.0,0.423434544,0.003044038,0.828401699,0.0030440380000000045,Kenya,KEN
2011,High income,High income,41432826.0,0.93046869,0.003044038,0.828401699,0.0030440380000000045,"Korea, Rep.",KOR
2011,Europe & Central Asia (excluding high income),Upper middle income,1287712.0,0.443099658,0.003044038,0.828401699,0.004314252660000015,Kosovo,XKX
2011,High income,High income,2266476.0,0.867732441,0.003044038,0.828401699,0.0030440380000000045,Kuwait,KWT
2011,Europe & Central Asia (excluding high income),Lower middle income,3813117.0,0.037572643,0.003044038,0.828401699,0.0030440380000000045,Kyrgyz Republic,KGZ
2011,East Asia & Pacific (excluding high income),Lower middle income,4035423.0,0.26773455,0.003044038,0.828401699,0.0030440380000000045,Lao PDR,LAO
2011,High income,High income,1800178.0,0.896588352,0.003044038,0.828401699,0.0030440380000000045,Latvia,LVA
2011,Middle East & North Africa (excluding high income),Lower middle income,3709897.0,0.370273272,0.003044038,0.828401699,0.0030440380000000045,Lebanon,LBN
2011,Sub-Saharan Africa (excluding high income),Lower middle income,1266790.0,0.184970245,0.003044038,0.828401699,0.0030440380000000045,Lesotho,LSO
2011,Sub-Saharan Africa (excluding high income),Low income,2309936.0,0.188014652,0.003044038,0.828401699,0.0030440380000000045,Liberia,LBR
2011,High income,High income,2635099.0,0.737551986,0.003044038,0.828401699,0.0030440380000000045,Lithuania,LTU
2011,High income,High income,417441.0,0.945867981,0.003044038,0.828401699,0.0030440380000000045,Luxembourg,LUX
2011,Sub-Saharan Africa (excluding high income),Low income,12419251.0,0.055232225,0.003044038,0.828401699,0.0030440380000000045,Madagascar,MDG
2011,Sub-Saharan Africa (excluding high income),Low income,7972899.0,0.165406104,0.003044038,0.828401699,0.0030440380000000045,Malawi,MWI
2011,East Asia & Pacific (excluding high income),Upper middle income,20649116.0,0.661738111,0.003044038,0.828401699,0.0030440380000000045,Malaysia,MYS
2011,Sub-Saharan Africa (excluding high income),Low income,8429981.0,0.082138534,0.003044038,0.828401699,0.0030440380000000045,Mali,MLI
2011,High income,High income,351508.0,0.952700727,0.003044038,0.828401699,0.0030440380000000045,Malta,MLT
2011,Sub-Saharan Africa (excluding high income),Lower middle income,1903527.0,0.174618151,0.003044038,0.828401699,0.0030440380000000045,Mauritania,MRT
2011,Sub-Saharan Africa (excluding high income),Upper middle income,986634.0,0.801232108,0.003044038,0.828401699,0.0030440380000000045,Mauritius,MUS
2011,Latin America & Caribbean (excluding high income),Upper middle income,79795751.0,0.274293832,0.003044038,0.828401699,0.0030440380000000045,Mexico,MEX
2011,Europe & Central Asia (excluding high income),Upper middle income,2361620.0,0.180663215,0.003044038,0.828401699,0.004314252660000015,Moldova,MDA
