countrynewwb,year,account_t_d,pop_adult,mobileaccount_t_d,internet,Predicted_Adoption
Mali,2011,0.082138534,8429981.0,,,0.0030440380000000045
Malta,2011,0.952700727,351508.0,,,0.0030440380000000045
Mauritania,2011,0.174618151,1903527.0,,,0.0030440380000000045
Mauritius,2011,0.801232108,986634.0,,,0.0030440380000000045
Mexico,2011,0.274293832,79795751.0,,,0.0030440380000000045
Moldova,2011,0.180663215,2361620.0,,,0.004314252660000015
Mongolia,2011,0.777170918,1973485.0,,,0.0030440380000000045
Montenegro,2011,0.504380175,500343.0,,,0.004314252660000015
Nepal,2011,0.253085585,17498633.0,,,0.0030440380000000045
Netherlands,2011,0.986585294,13694510.0,,,0.0030440380000000045
New Zealand,2011,0.994367277,3443024.0,,,0.0030440380000000045
Nicaragua,2011,0.142183321,3774402.0,,,0.0030440380000000045
Niger,2011,0.015216987,8376813.0,,,0.0030440380000000045
Nigeria,2011,0.296675377,92621676.0,,,0.0030440380000000045
North Macedonia,2011,0.736989466,1569860.0,,,0.004314252660000015
Oman,2011,0.736024165,1989124.0,,,0.0030440380000000045
Pakistan,2011,0.103062966,120857470.0,,,0.0030440380000000045
Panama,2011,0.249264954,2569368.0,,,0.0030440380000000045
Paraguay,2011,0.217201462,3870412.0,,,0.0030440380000000045
Peru,2011,0.204586854,20570757.0,,,0.0030440380000000045
Philippines,2011,0.265559261,62034866.0,,,0.0030440380000000045
Poland,2011,0.701942895,32308457.0,,,0.0030440380000000045
Portugal,2011,0.812294253,8967347.0,,,0.0030440380000000045
Qatar,2011,0.658753853,1392286.0,,,0.0030440380000000045
Romania,2011,0.445916228,17058580.0,,,0.0030440380000000045
Russian Federation,2011,0.481784885,121177141.0,,,0.00482336614000002
Rwanda,2011,0.327638222,5941330.0,,,0.0030440380000000045
Saudi Arabia,2011,0.464206603,17354530.0,,,0.0030440380000000045
Senegal,2011,0.05821141,7243499.0,,,0.0030440380000000045
Serbia,2011,0.622162233,6237019.0,,,0.0030440380000000045
Sierra Leone,2011,0.153417554,3534329.0,,,0.0030440380000000045
Singapore,2011,0.982218923,4359214.0,,,0.0030440380000000045
Slovak Republic,2011,0.795830118,4557830.0,,,0.0030440380000000045
Slovenia,2011,0.971437133,1758964.0,,,0.0030440380000000045
South Africa,2011,0.536450756,36953226.0,,,0.0030440380000000045
Spain,2011,0.93277603,39626900.0,,,0.0030440380000000045
Sri Lanka,2011,0.685261647,15571720.0,,,0.0030440380000000045
Sudan,2011,0.068997979,19614991.0,,,0.0030440380000000045
Sweden,2011,0.989919498,7820937.0,,,0.0030440380000000045
Syrian Arab Republic,2011,0.232530858,14356499.0,,,0.0030440380000000045
"Taiwan, China",2011,0.87314893,19429474.0,,,0.0030440380000000045
Tajikistan,2011,0.025348573,4834891.0,,,0.0030440380000000045
Tanzania,2011,0.172577675,24470055.0,,,0.0030440380000000045
Thailand,2011,0.726664359,54766867.0,,,0.0030440380000000045
Togo,2011,0.101852403,3932998.0,,,0.0030440380000000045
Trinidad and Tobago,2011,0.759220595,1050120.0,,,0.0030440380000000045
Turkiye,2011,0.576014258,54201890.0,,,0.004162696360000014
Turkmenistan,2011,0.004049115,3877998.0,,,0.0030440380000000045
Uganda,2011,0.204614192,16363076.0,,,0.0030440380000000045
Ukraine,2011,0.412685749,39900312.0,,,0.0033115045400000064
United Arab Emirates,2011,0.597323703,5710622.0,,,0.0030440380000000045
United Kingdom,2011,0.972012849,51619966.0,,,0.0030440380000000045
United States,2011,0.879578659,248390172.0,,,0.0030440380000000045
Uruguay,2011,0.235426009,2578893.0,,,0.0030440380000000045
Uzbekistan,2011,0.22503919,20171292.0,,,0.0033115045400000064
"Venezuela, RB",2011,0.441166616,20199432.0,,,0.0030440380000000045
Viet Nam,2011,0.213694927,65955596.0,,,0.0030440380000000045
West Bank and Gaza,2011,0.194280315,2199701.0,,,0.0030440380000000045
"Yemen, Rep.",2011,0.036599538,15109759.0,,,0.0030440380000000045
Zambia,2011,0.213649092,7506102.0,,,0.0030440380000000045
Zimbabwe,2011,0.396512089,7608011.0,,,0.0030440380000000045
Afghanistan,2014,0.099610012,16708999.0,0.003044038,,0.012290477344765162
Albania,2014,0.379863523,2322032.0,,,0.02581517725000004
Algeria,2014,0.504757907,27628433.0,,,0.017736669424765185
Angola,2014,0.293181213,14342950.0,,,0.07014622772999993
Argentina,2014,0.501972945,31872846.0,0.004323196,,0.009350392879999989
Armenia,2014,0.176690647,2428128.0,0.006578374,,0.041817761020000004
Australia,2014,0.988595664,18749193.0,,,0.022119866014295466
Austria,2014,0.967340576,7260944.0,,,0.028123081485946225
Azerbaijan,2014,0.291514931,7283305.0,,,0.030578347479999973
Bahrain,2014,0.819393439,1005566.0,,,0.0257427260898229
Bangladesh,2014,0.309908189,105778630.0,0.026917143,,0.026947997669999967
Belarus,2014,0.719849861,7971997.0,,,0.04413349141000003
Belgium,2014,0.981257531,9263588.0,,,0.018052828996388916
Belize,2014,0.482092497,228016.0,,,0.0376536954
Benin,2014,0.166208335,6043333.0,0.020227271,,0.024735135849999982
Bhutan,2014,0.33665913,523289.0,,,0.036054112940000015
Bolivia,2014,0.417967196,7120716.0,0.027771435,,0.023944560044765167
Bosnia and Herzegovina,2014,0.526850299,3077307.0,,,0.1609212066799998
Botswana,2014,0.519645703,1405268.0,0.207515244,,0.1792787418399998
Brazil,2014,0.681231585,152293155.0,0.008577455,,0.022841308170000005
Bulgaria,2014,0.629868277,6271977.0,,,0.057605848630000026
Burkina Faso,2014,0.143575961,9623020.0,0.030809696,,0.03865869711999998
Burundi,2014,0.071057586,5630929.0,0.007463846,,0.015144836260000023
Cambodia,2014,0.221652658,10284331.0,0.132945547,,0.011504116699530333
Cameroon,2014,0.121777347,12084831.0,0.017966049,,0.039408826960000025
Canada,2014,0.99103328,29372810.0,,,0.013590398221007795
Chad,2014,0.124333451,7035329.0,0.057501066,,0.04998827818000005
Chile,2014,0.632588778,14064832.0,0.037898508,,0.030009500690000027
China,2014,0.789652608,1113693456.0,,,0.019069971159999997
Colombia,2014,0.389990168,34309704.0,0.02212442,,0.01591195837999999
"Congo, Dem. Rep.",2014,0.174769844,40959603.0,0.092086641,,0.08853745691699098
"Congo, Rep.",2014,0.170695977,2849454.0,0.01985446,,0.030605780549999958
Costa Rica,2014,0.645530648,3611461.0,,,0.026783496149999995
Cote d'Ivoire,2014,0.343220227,13848553.0,0.242613766,,0.14640628824000002
Croatia,2014,0.860250964,3606895.0,,,0.021761103079999997
Cyprus,2014,0.901502022,991903.0,,,0.033366559447566224
Czechia,2014,0.821782079,8944904.0,,,0.026069459709530313
Denmark,2014,1.0,4641892.0,,,0.057962660760000055
Dominican Republic,2014,0.540909896,7152325.0,0.023180556,,0.044233879159999934
Ecuador,2014,0.462124251,11054660.0,,,0.013042791489999985
"Egypt, Arab Rep.",2014,0.14126797,63009609.0,0.011449442,,0.016103177919999986
El Salvador,2014,0.367197118,4304307.0,0.045567878,,0.018045441090000006
Estonia,2014,0.97671671,1110561.0,,,0.0826009970777873
Ethiopia,2014,0.217915817,55109169.0,0.0002789486415923,,0.051305294739291706
Finland,2014,1.0,4545771.0,,,0.05816224676000006
France,2014,0.965827529,53825137.0,,,0.04328818450429553
Gabon,2014,0.330141832,1209169.0,0.066484249,,0.10322534196000006
Georgia,2014,0.396650699,3020250.0,,,0.10115585143999985
Germany,2014,0.987604067,69974132.0,,,0.08792090676429548
Ghana,2014,0.405057942,16743744.0,0.130065504,,0.22667185921000008
Greece,2014,0.875186471,9357686.0,,,0.019090826714765176
Guatemala,2014,0.413492185,9616393.0,0.017702767,,0.017495515530000002
Guinea,2014,0.069600173,6293415.0,0.014732857,,0.018999266690000027
Haiti,2014,0.188586778,6636287.0,0.037826898,,0.032466004530000016
